Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
08/07/1966,17:36:12,31.0395,-113.7773333,Earthquake,6.0,31.61,13.0,6.35,ML,0.123,4.0,335.0,,99.0,0.6,CI3330114,CI,CI,CI,Reviewed
12/20/1966,15:30:01,37.3021667,-116.4083333,Nuclear Explosion,1.2,31.61,16.0,5.62,ML,0.245,10.0,261.0,1.476,99.0,0.86,CI3329931,CI,CI,CI,Reviewed
04/26/1968,15:00:02,37.2953333,-116.4556667,Nuclear Explosion,1.2,31.61,17.0,5.63,ML,0.125,6.0,261.0,1.438,99.0,1.03,CI3342128,CI,CI,CI,Reviewed
12/19/1968,16:30:01,37.2315,-116.4736667,Nuclear Explosion,1.4,31.61,16.0,5.52,ML,0.219,6.0,257.0,1.415,99.0,1.36,CI3342181,CI,CI,CI,Reviewed
09/16/1969,14:30:01,37.3141667,-116.4606667,Nuclear Explosion,1.2,31.61,13.0,5.82,ML,0.187,8.0,268.0,1.437,99.0,0.33,CI3326197,CI,CI,CI,Reviewed
03/26/1970,19:00:01,37.3005,-116.5341667,Nuclear Explosion,1.2,31.61,16.0,5.54,ML,0.41,10.0,260.0,1.377,99.0,0.35,CI3325031,CI,CI,CI,Reviewed
06/06/1973,13:00:01,37.245,-116.346,Nuclear Explosion,1.1,31.61,17.0,5.64,ML,0.155,8.0,259.0,1.517,99.0,0.55,CI3319623,CI,CI,CI,Reviewed
11/22/1974,16:25:34,30.25,-114.8,Earthquake,6.0,31.61,20.0,5.55,ML,0.055,4.0,312.0,2.641,99.0,3.22,CI3319062,CI,CI,CI,Reviewed
06/26/1975,12:30:01,37.2788333,-116.3686667,Nuclear Explosion,6.0,31.61,19.0,5.52,ML,0.341,13.0,260.0,1.504,99.0,3.44,CI12328563,CI,CI,CI,Reviewed
10/28/1975,14:30:00,37.2901667,-116.4115,Nuclear Explosion,1.3,31.61,19.0,5.67,ML,0.302,8.0,260.0,1.472,99.0,2.75,CI3006257,CI,CI,CI,Reviewed
01/03/1976,19:15:01,37.2965,-116.3331667,Nuclear Explosion,1.5,31.61,20.0,5.84,ML,0.123,8.0,261.0,1.534,99.0,0.44,CI3001652,CI,CI,CI,Reviewed
02/12/1976,14:45:01,37.2713333,-116.4883333,Nuclear Explosion,1.2,31.61,56.0,5.81,ML,0.188,9.0,259.0,,99.0,0.42,CI3002022,CI,CI,CI,Reviewed
03/14/1976,12:30:01,37.306,-116.4715,Nuclear Explosion,1.3,31.61,52.0,5.84,ML,0.246,12.0,260.0,,99.0,0.38,CI3002345,CI,CI,CI,Reviewed
03/17/1976,14:15:01,37.2558333,-116.3118333,Nuclear Explosion,0.9,31.61,54.0,5.52,ML,0.092,8.0,259.0,,99.0,0.39,CI3002390,CI,CI,CI,Reviewed
10/15/1979,23:16:54,32.6673333,-115.3591667,Earthquake,15.0,31.61,78.0,6.4,MW,0.288,2.0,168.0,,1.26,0.5,CI3352060,CI,CI,CI,Reviewed
05/18/1980,15:32:11,46.2073333,-122.188,Earthquake,1.51,0.56,18.0,5.7,MD,0.08,1.0,62.0,0.008296,0.682,0.22,UW10084803,UW,UW,UW,Reviewed
05/25/1980,19:44:51,37.6956667,-118.75,Earthquake,6.0,31.61,19.0,6.47,ML,0.197,6.0,224.0,,3.61,0.57,CI3308037,CI,CI,CI,Reviewed
05/27/1980,14:50:56,37.6243333,-118.7551667,Earthquake,6.0,31.61,10.0,6.31,ML,0.182,10.0,218.0,,4.1,0.79,CI9728478,CI,CI,CI,Reviewed
09/07/1980,04:36:38,38.1383333,-118.3913333,Earthquake,6.0,31.61,5.0,5.52,ML,0.206,12.0,333.0,1.09,8.02,0.33,CI9735242,CI,CI,CI,Reviewed
04/26/1981,12:09:28,33.0955,-115.6245,Earthquake,18.904,0.67,81.0,5.75,ML,0.161,6.0,34.0,,0.56,0.34,CI514869,CI,CI,CI,Reviewed
09/21/1993,03:28:56,42.3161667,-122.0266667,Earthquake,8.56,0.93,201.0,5.9,MD,0.02,3.0,129.0,,0.441,0.09,UW10313718,UW,UW,UW,Reviewed
09/21/1993,05:45:35,42.3575,-122.0583333,Earthquake,8.53,0.85,234.0,6.0,MD,0.02,3.0,128.0,,0.4,0.08,UW10313838,UW,UW,UW,Reviewed
07/03/1999,01:43:54,47.074,-123.4636667,Earthquake,40.014,0.06,48.0,5.8,MD,0.05,6.0,85.0,,0.085,0.21,UW10474303,UW,UW,UW,Reviewed
